alpha,beta,gama
-1.597896654047543e-06,-2.3841856601089895e-06,1.065264372536987e-06
-1.597896654047543e-06,-2.3841856601089895e-06,1.065264372536987e-06
-1.597896654047543e-06,-2.3841856601089895e-06,1.065264372536987e-06
-1.597896654047543e-06,-2.3841856601089895e-06,1.065264372536987e-06
-2.130528745073974e-06,-3.337859924152585e-06,-0.0
-9.747168776957746e-05,-8.380412366702147e-05,-0.00011114495725264258
-0.00025726137755629976,-0.0002281665702122186,-0.000323682068308168
-0.00046765108741791424,-0.00042557714083741227,-0.0006297039196005855
-0.0007195861265394102,-0.0006669759513684103,-0.001022950343321159
-0.001005609367539595,-0.0009441375498487891,-0.0014969749421896617
-0.0013193297439509295,-0.0012499092746589425,-0.0020450026499973916
-0.0016554206735189293,-0.001578092514331981,-0.0026614929733573857
-0.0020085558340634363,-0.0019234418298028843,-0.0033405324723003397
-0.002374474167840324,-0.0022810695142409486,-0.004078362032529768
-0.002749979881541496,-0.0026470422035518035,-0.0048700909563602285
-0.003131877181858859,-0.003017902209581874,-0.005712910701153852
-0.003517503167776658,-0.0033905504866720408,-0.006603074376107439
-0.0039047262701255286,-0.0037623641852526308,-0.00753813676241543
-0.004291417780553685,-0.004131197692140719,-0.00851542481616339
-0.004675978762109777,-0.00449550122443242,-0.009532798645803543
-0.005057341869763173,-0.004853367657101022,-0.010588224990261458
-0.0054349781123364084,-0.005203723663406409,-0.011679943146355507
-0.00579663590851782,-0.0055477614240553134,-0.012794367871634384
-0.0061369884159785965,-0.005885839321467864,-0.013920673832385837
-0.006451241424607947,-0.0062183136574695905,-0.015050208875959011
-0.006736199141097775,-0.00654470901619402,-0.016175981164195146
-0.006991329973527366,-0.006864785609113317,-0.017292251376885663
-0.007214502352727355,-0.007177948386171416,-0.018394245589717136
-0.007405718879440996,-0.007484435575450203,-0.01947795033570303
-0.007564974352181783,-0.007783412338365776,-0.020539865014426107
-0.007691741340218205,-0.008074640966984901,-0.02157697276371402
-0.007787083027391692,-0.008358001306969332,-0.022586568810584653
-0.007850466781484228,-0.00863313601619624,-0.023566206375786495
-0.00788348945885256,-0.008899807906881042,-0.02451361969179838
-0.007886684211863355,-0.009158014898429134,-0.025426711519261867
-0.007860052080813912,-0.009407281574974048,-0.026303503212710817
-0.007804126218070899,-0.009647846164597665,-0.027141949547651825
-0.007720502959842411,-0.00987934976473121,-0.02793998033245628
-0.007609183346425749,-0.010102152318240762,-0.028695637727604053
-0.007471232122108295,-0.010315894922557538,-0.029407017989034657
-0.007306648766741398,-0.010520696171573836,-0.03007222569506601
-0.0071164980246124394,-0.01071643747139736,-0.030689375826989045
-0.0069007830166133224,-0.010903238456217702,-0.031256600010851496
-0.006660032213772858,-0.011081337354116752,-0.03177199034140368
-0.006395314521567632,-0.01125049489671532,-0.032233638913395916
-0.0061066278594030425,-0.011410712124310707,-0.03263953587244301
-0.0057939737877250415,-0.011562227264984801,-0.03298769425070044
-0.005458414450077756,-0.011704802090655716,-0.033276089629620795
-0.005099420855283725,-0.01183891201718992,-0.03350254986844001
-0.004718055146887078,-0.011963963034828653,-0.03366494027709679
-0.004330832824761183,-0.012081264877873634,-0.03378029260300005
-0.003948934744220844,-0.012190698952432575,-0.033861966344086815
-0.003578222980556139,-0.012292861348858836,-0.03392007319012098
-0.003221891766629212,-0.012388228523316194,-0.033961707968694084
-0.002881007927322045,-0.012476920109994238,-0.03399200142609374
-0.0025566346464760688,-0.012559293971164452,-0.034014357415088195
-0.0022487729643885833,-0.01263570692880101,-0.03403119982838834
-0.001956890248841574,-0.012706160023201216,-0.034044164013351065
-0.001680454387765674,-0.01277112867023154,-0.034054433828304684
-0.0014189323588313808,-0.012831091406650355,-0.03406269586946773
-0.001172323381815718,-0.012885569695699288,-0.03406955767046389
-0.0009390305353433581,-0.012935994986464257,-0.03407537085178083
-0.000719053429302813,-0.01298153296051001,-0.03408041421309516
-0.0005118595615132296,-0.01302266007400032,-0.0340848167512722
-0.00031638357001070416,-0.013059853823396259,-0.03408875947804228
-0.00013262540603130074,-0.013092993534210933,-0.034092300650054246
